mh MH MA MC la2 laL la1 la3 la4 la5
1.2510000000e+02 5.9311160628e+02 6.2385763531e+02 6.8432313253e+02 2.6273432328e+00 1.7528091630e+00 2.5860945866e-01 5.6035848989e+00 -3.2324769119e+00 -6.1829882397e-01
1.2510000000e+02 5.7298970857e+02 6.9642019186e+02 6.9164742519e+02 1.4424021316e+00 -1.8902517684e-01 2.5860945866e-01 4.7702898685e+00 -2.3701836173e+00 -2.5891314281e+00
1.2510000000e+02 9.8272484188e+01 3.0856801498e+02 3.2355330515e+02 3.1406253930e+00 2.9770646402e-01 2.5860945866e-01 3.4383390281e+00 -1.7268454877e+00 -1.4137870765e+00
1.2510000000e+02 4.1987962923e+02 4.9122877996e+02 4.9298512455e+02 2.4144449236e+00 1.4804834145e+00 2.5860945866e-01 3.6860300462e+00 -1.1313379726e+00 -1.0742086591e+00
1.2510000000e+02 3.0271609131e+02 3.2371949366e+02 3.3601524096e+02 1.1852026735e+00 2.2345471782e-01 2.5860945866e-01 9.2638320693e-01 -4.8551030817e-01 -2.1741818094e-01
1.2510000000e+02 2.7710509803e+02 5.1273003581e+02 5.1846310749e+02 6.2204504238e-01 1.2652377668e+00 2.5860945866e-01 7.6112209275e+00 -3.2706831695e+00 -3.0752999912e+00
1.2510000000e+02 1.6070959401e+02 2.1633124449e+02 1.6887810116e+02 2.1717415132e+00 6.9042813851e-01 2.5860945866e-01 7.7940425870e-01 2.5757080516e-01 -3.4654692536e-01
1.2510000000e+02 3.4429245218e+02 6.5237580964e+02 6.5425057099e+02 2.9849499031e+00 1.4701059394e+00 2.5860945866e-01 1.1699021169e+01 -5.1549363745e+00 -5.0739788547e+00
1.2510000000e+02 4.8111240160e+02 7.0184694260e+02 7.0304888103e+02 3.1603957884e+00 -7.5211992751e-01 2.5860945866e-01 7.9334702019e+00 -4.3706984007e+00 -4.3148917287e+00
1.2510000000e+02 7.3393751938e+02 9.2652578967e+02 9.3846305468e+02 2.6211485556e+00 1.0986636371e+00 2.5860945866e-01 1.2403066527e+01 -6.0200854106e+00 -5.2843174793e+00
1.2510000000e+02 6.2001997875e+02 8.1856093505e+02 8.2468316465e+02 4.0288618482e+00 4.8599904020e-01 2.5860945866e-01 1.0257879138e+01 -5.0521823265e+00 -4.7196977716e+00
1.2510000000e+02 6.3236225770e+01 1.1017573793e+02 7.4056754069e+01 1.8939014478e+00 2.5794267397e-01 2.5860945866e-01 3.0703985731e-01 8.5410599359e-02 -1.3450778270e-01
1.2510000000e+02 2.6768333282e+02 2.7738332931e+02 2.8145708373e+02 2.0755161245e+00 1.7720623484e+00 2.5860945866e-01 2.0220366796e+00 -1.6260661512e-01 -8.7367716137e-02
1.2510000000e+02 7.8482827563e+02 8.5208756640e+02 9.0003306393e+02 1.2103215978e+00 1.8575895994e-01 2.5860945866e-01 6.6007267022e+00 -4.5956505602e+00 -1.8193171821e+00
1.2510000000e+02 7.7079826354e+02 8.4362443751e+02 8.9293240607e+02 1.9254767599e+00 3.5511846205e-01 2.5860945866e-01 7.0706422484e+00 -4.7726949728e+00 -1.9428288135e+00
1.2510000000e+02 1.6560441478e+02 2.9659657340e+02 1.6925897069e+02 3.4269285512e+00 -5.3421035689e-02 2.5860945866e-01 -1.2976295030e-02 9.6002959930e-01 -1.0004743400e+00
1.2510000000e+02 4.2337631182e+02 5.0338389240e+02 4.2806679463e+02 1.4399782809e+00 1.3385117388e+00 2.5860945866e-01 1.4704992876e+00 1.0932725761e+00 -1.2252601249e+00
1.2510000000e+02 6.8446822409e+02 8.0103628433e+02 8.1349738769e+02 3.5005486136e+00 -3.3592013121e-01 2.5860945866e-01 6.0518533496e+00 -3.5263421400e+00 -2.8614313408e+00
1.2510000000e+02 7.7413633803e+02 8.4299652126e+02 7.8107394489e+02 4.4838095786e-01 9.6914860683e-01 2.5860945866e-01 1.3257299250e+00 1.4835281570e+00 -1.8401094752e+00
1.2510000000e+02 1.5060186523e+02 2.4163300110e+02 2.8266746918e+02 1.8314100657e-01 -1.0052528569e-01 2.5860945866e-01 1.7905440619e+00 -1.3010504202e+00 -5.9001892742e-01
1.2510000000e+02 3.8165185387e+02 5.0811852225e+02 5.1096563558e+02 2.5409529933e-01 -1.8737483589e-01 2.5860945866e-01 3.6274094585e+00 -1.9553372872e+00 -1.8594470072e+00
1.2510000000e+02 5.8632532001e+02 6.4949459527e+02 6.0325495427e+02 4.1841561486e+00 -9.4863762948e-01 2.5860945866e-01 -2.8305632956e-01 6.2442214379e-01 -1.2900034437e+00
1.2510000000e+02 5.9883679130e+02 6.2717566989e+02 6.6241724191e+02 3.5797723030e+00 -9.5046447507e-01 2.5860945866e-01 1.6997800804e+00 -2.0761184024e+00 -5.7412615307e-01
1.2510000000e+02 3.8506501360e+02 4.6473407057e+02 4.9265361512e+02 1.4890631040e+00 1.4906259282e+00 2.5860945866e-01 4.6115367549e+00 -2.0021539418e+00 -1.1187568849e+00
1.2510000000e+02 5.3957901863e+02 6.7231734021e+02 7.0208881319e+02 9.8078913184e-01 7.5245343661e-01 2.5860945866e-01 7.4212082869e+00 -4.0105307673e+00 -2.6582240830e+00
