mh MH MA MC la2 laL la1 la3 la4 la5
1.2510000000e+02 2.7355833353e+02 5.5014759958e+02 5.6692333427e+02 3.5547453246e+00 -1.7576277708e-01 2.5860945866e-01 7.9730872824e+00 -4.3840900045e+00 -3.7647600550e+00
1.2510000000e+02 6.2224411408e+02 6.5258587584e+02 7.1014656516e+02 1.6054454599e+00 8.9755339763e-02 2.5860945866e-01 3.9604806521e+00 -3.2315457923e+00 -6.3917952007e-01
1.2510000000e+02 5.6455395791e+02 7.5107042228e+02 7.7705110411e+02 2.0369181778e+00 -8.7133810820e-02 2.5860945866e-01 9.3347462543e+00 -5.3669919723e+00 -4.0548880928e+00
1.2510000000e+02 9.3009532542e+02 9.7230418053e+02 9.5489392496e+02 1.5124843001e+00 1.0996439288e+00 2.5860945866e-01 2.6445277136e+00 -2.1799329118e-01 -1.3268904937e+00
1.2510000000e+02 1.4947778269e+02 1.7871253785e+02 1.9616561088e+02 2.4055940294e+00 1.1402413013e+00 2.5860945866e-01 1.6735660211e+00 -3.7477882010e-01 -1.5854589971e-01
1.2510000000e+02 6.7551353185e+02 8.2887579224e+02 6.7756682927e+02 3.3329352409e-01 -2.5076417980e-02 2.5860945866e-01 6.6743147457e-02 3.7206688217e+00 -3.8124883871e+00
1.2510000000e+02 3.1626444578e+02 4.7879345306e+02 4.8696518270e+02 2.5886532465e+00 -6.1604253391e-01 2.5860945866e-01 3.9153835186e+00 -2.3961234709e+00 -2.1353025816e+00
1.2510000000e+02 7.0092276175e+02 9.2638775416e+02 9.2268560083e+02 1.9950057686e+00 -3.3180041849e-01 2.5860945866e-01 1.1567730285e+01 -5.8366456303e+00 -6.0628850736e+00
1.2510000000e+02 8.7271195603e+02 8.8341900564e+02 8.8254560328e+02 5.2659115393e-01 8.0481412461e-01 2.5860945866e-01 1.3752610698e+00 -2.5973603682e-01 -3.1071090832e-01
1.2510000000e+02 8.3165468652e+02 8.6765384164e+02 8.8122065974e+02 2.2687887358e+00 1.6765727586e+00 2.5860945866e-01 4.4824533041e+00 -1.7950128195e+00 -1.0108677260e+00
1.2510000000e+02 6.4223826572e+02 6.7671490877e+02 6.4943498382e+02 2.2568727880e+00 3.9396815088e-01 2.5860945866e-01 7.0118634966e-01 4.4420419853e-01 -7.5142239732e-01
1.2510000000e+02 5.6768599893e+02 5.7570724549e+02 5.8222879352e+02 1.5137374812e+00 1.5944917868e+00 2.5860945866e-01 2.1471712311e+00 -4.0112548952e-01 -1.5155395475e-01
1.2510000000e+02 6.3608974754e+02 8.5199207327e+02 8.5435839109e+02 2.2657034110e+00 1.6766579959e+00 2.5860945866e-01 1.2428131771e+01 -5.4424592008e+00 -5.3090145746e+00
1.2510000000e+02 2.4094573738e+01 7.4577357851e+01 1.0816795806e+02 1.8067467090e+00 2.1825084582e-01 2.5860945866e-01 5.8574898406e-01 -2.8518546357e-01 -8.2312674671e-02
1.2510000000e+02 6.8737469017e+02 9.2111556930e+02 9.2242350341e+02 2.7768306861e+00 -8.3869581420e-01 2.5860945866e-01 1.1666464968e+01 -6.2924248561e+00 -6.2127359264e+00
1.2510000000e+02 6.8535995083e+02 7.0976846545e+02 7.3840965877e+02 2.5385256276e+00 -6.4838040418e-01 2.5860945866e-01 1.8478375206e+00 -1.9335070326e+00 -5.6271089212e-01
1.2510000000e+02 5.0320508551e+02 5.6172060690e+02 5.5381689310e+02 6.9851788760e-01 -2.2457041552e-01 2.5860945866e-01 1.5434840827e+00 -7.3833207556e-01 -1.0297224227e+00
1.2510000000e+02 5.9321658727e+02 6.1307500776e+02 6.3972159740e+02 3.9571826468e+00 1.9142237900e+00 2.5860945866e-01 3.8091871968e+00 -1.4991169245e+00 -3.9584648228e-01
1.2510000000e+02 2.0304439224e+02 2.5997443461e+02 2.1923233308e+02 3.4764126146e+00 -5.6171548422e-01 2.5860945866e-01 -3.3579868049e-01 2.0966521475e-01 -4.3558201847e-01
