mh;MH;MA;MC;la2;laL;la1;la3;la4;la5
0.12510000E+03;0.24664022E+03;0.61323024E+03;0.62939453E+03;0.74821700E+00;0.21275300E+00;0.25860946E+00;0.11294321E+02;-0.58726986E+01;-0.52088693E+01
0.12510000E+03;0.23813838E+03;0.54938987E+03;0.54359712E+03;0.28688810E+01;0.52941000E-01;0.25860946E+00;0.79446702E+01;-0.38412411E+01;-0.40504882E+01
0.12510000E+03;0.20931471E+03;0.50897721E+03;0.52880417E+03;0.10018890E+01;0.13248830E+01;0.25860946E+00;0.91185642E+01;-0.42368508E+01;-0.35568304E+01
0.12510000E+03;0.20217300E+00;0.59548558E+03;0.60800692E+03;0.21341440E+01;0.27020800E+00;0.25860946E+00;0.12487551E+02;-0.63576857E+01;-0.58596576E+01
0.12510000E+03;0.22857045E+03;0.28905669E+03;0.34255001E+03;0.30546650E+01;0.70675800E+00;0.25860946E+00;0.28581249E+01;-0.16339943E+01;-0.51737258E+00
0.12510000E+03;0.49717218E+03;0.64890558E+03;0.63927194E+03;0.31169570E+01;-0.31493900E+00;0.25860946E+00;0.50221102E+01;-0.24634574E+01;-0.28735918E+01
0.12510000E+03;0.23394212E+03;0.26460209E+03;0.32886808E+03;0.18313450E+01;-0.11529000E-01;0.25860946E+00;0.17541296E+01;-0.15130750E+01;-0.25258360E+00
0.12510000E+03;0.67722644E+03;0.76460351E+03;0.69250313E+03;0.33911990E+01;0.83013800E+00;0.25860946E+00;0.15216883E+01;0.13902607E+01;-0.20818110E+01
0.12510000E+03;0.71930784E+03;0.80234516E+03;0.78259880E+03;0.26218610E+01;-0.24188800E+00;0.25860946E+00;0.28996651E+01;-0.10536094E+01;-0.20879436E+01
0.12510000E+03;0.75537146E+03;0.82415666E+03;0.78738913E+03;0.26044730E+01;0.51311000E+00;0.25860946E+00;0.21455911E+01;0.16288158E+00;-0.17953626E+01
0.12510000E+03;0.67202269E+03;0.70822868E+03;0.77239563E+03;0.31092820E+01;0.17613080E+01;0.25860946E+00;0.65527850E+01;-0.39656893E+01;-0.82578773E+00
0.12510000E+03;0.40643828E+03;0.68511121E+03;0.70603845E+03;0.34539680E+01;0.67246700E+00;0.25860946E+00;0.11687676E+02;-0.59886827E+01;-0.50265268E+01
0.12510000E+03;0.37732056E+03;0.61625844E+03;0.38010974E+03;0.19399360E+01;-0.24847000E-01;0.25860946E+00;0.44972863E-01;0.38531702E+01;-0.39229900E+01
0.12510000E+03;0.20210039E+03;0.33093871E+03;0.31789764E+03;0.28171520E+01;0.12994100E+00;0.25860946E+00;0.21199715E+01;-0.85519239E+00;-0.11348382E+01
0.12510000E+03;0.81700625E+03;0.89786680E+03;0.83436897E+03;0.38919380E+01;0.53836600E+00;0.25860946E+00;0.14859620E+01;0.13437910E+01;-0.22913870E+01
0.12510000E+03;0.22657120E+01;0.48811235E+03;0.50279502E+03;0.21884680E+01;0.71130600E+00;0.25860946E+00;0.90660452E+01;-0.44177880E+01;-0.39369512E+01
0.12510000E+03;0.28451783E+03;0.35672042E+03;0.32971289E+03;0.51142700E+00;0.13522010E+01;0.25860946E+00;0.22696507E+01;-0.15237835E+00;-0.76507139E+00
0.12510000E+03;0.39962908E+03;0.46969504E+03;0.42506922E+03;0.38033620E+01;-0.59870600E+00;0.25860946E+00;0.94678928E-01;0.31312617E+00;-0.10065111E+01
0.12510000E+03;0.34006101E+03;0.68692613E+03;0.70390796E+03;0.31613200E+01;-0.24339600E+00;0.25860946E+00;0.12310141E+02;-0.66670603E+01;-0.58864765E+01
0.12510000E+03;0.37560010E+03;0.53153456E+03;0.56513899E+03;0.28492260E+01;0.51836500E+00;0.25860946E+00;0.64112410E+01;-0.35554189E+01;-0.23374571E+01
0.12510000E+03;0.60421051E+03;0.78482976E+03;0.77680744E+03;0.35477570E+01;0.75697600E+00;0.25860946E+00;0.86345442E+01;-0.37317651E+01;-0.41458030E+01
0.12510000E+03;0.20592688E+03;0.57715277E+03;0.59366271E+03;0.24049260E+01;0.34346400E+00;0.25860946E+00;0.10589664E+02;-0.54425215E+01;-0.48036790E+01
0.12510000E+03;0.38369190E+03;0.54752236E+03;0.53832341E+03;0.36690300E+01;-0.89756100E+00;0.25860946E+00;0.38143374E+01;-0.21908914E+01;-0.25210070E+01
0.12510000E+03;0.64823435E+03;0.80087957E+03;0.83500055E+03;0.18685730E+01;0.14487540E+01;0.25860946E+00;0.10603958E+02;-0.54999668E+01;-0.36552369E+01
0.12510000E+03;0.12300844E+03;0.35571990E+03;0.34715679E+03;0.21977310E+01;0.51689000E-01;0.25860946E+00;0.35346278E+01;-0.16420112E+01;-0.18409276E+01
0.12510000E+03;0.63483825E+03;0.73438722E+03;0.77909933E+03;0.37894200E+00;-0.63434000E-01;0.25860946E+00;0.66777971E+01;-0.44888517E+01;-0.22523795E+01
0.12510000E+03;0.26465149E+03;0.47641891E+03;0.50242628E+03;0.32274840E+01;0.16792540E+01;0.25860946E+00;0.77071395E+01;-0.34346115E+01;-0.25932740E+01
0.12510000E+03;0.27779561E+03;0.46096538E+03;0.45205664E+03;0.35111540E+01;0.17691360E+01;0.25860946E+00;0.59724807E+01;-0.19672636E+01;-0.22360811E+01
0.12510000E+03;0.58807572E+03;0.72961994E+03;0.71937169E+03;0.38277860E+01;0.14490660E+01;0.25860946E+00;0.71223614E+01;-0.25912642E+01;-0.30820312E+01
0.12510000E+03;0.77866537E+03;0.89249568E+03;0.93450945E+03;0.38380260E+01;0.14339970E+01;0.25860946E+00;0.10257718E+02;-0.56802751E+01;-0.31434461E+01
0.12510000E+03;0.36044409E+03;0.43081994E+03;0.39991377E+03;0.21962500E+00;0.13602210E+01;0.25860946E+00;0.23520604E+01;-0.71655043E-01;-0.92018431E+00
0.12510000E+03;0.40608927E+03;0.41218395E+03;0.48844917E+03;0.20264470E+01;0.16254380E+01;0.25860946E+00;0.40603016E+01;-0.23524537E+01;-0.82409941E-01
0.12510000E+03;0.34447601E+03;0.43018986E+03;0.35931952E+03;0.17954200E+00;0.10229070E+01;0.25860946E+00;0.13681643E+01;0.75196654E+00;-0.10972238E+01
0.12510000E+03;0.10578067E+03;0.17971634E+03;0.14999510E+03;0.16369600E+00;0.54273200E+00;0.25860946E+00;0.91648376E+00;-0.24944642E-01;-0.34880712E+00
0.12510000E+03;0.59006185E+03;0.74375658E+03;0.77826220E+03;0.27226440E+01;0.14075350E+01;0.25860946E+00;0.99183113E+01;-0.51232282E+01;-0.33875481E+01
0.12510000E+03;0.37165764E+03;0.66334863E+03;0.65774626E+03;0.19026470E+01;-0.47700000E+00;0.25860946E+00;0.92559877E+01;-0.47441914E+01;-0.49887963E+01
0.12510000E+03;0.78304778E+03;0.91709150E+03;0.90667887E+03;0.34288380E+01;0.10337770E+01;0.25860946E+00;0.79378266E+01;-0.31382193E+01;-0.37658303E+01
0.12510000E+03;0.56807342E+03;0.77421714E+03;0.80145075E+03;0.12716080E+01;0.18157980E+01;0.25860946E+00;0.12378819E+02;-0.59905978E+01;-0.45724232E+01
0.12510000E+03;0.84229233E+03;0.91128882E+03;0.87230480E+03;0.31025080E+01;0.18491090E+01;0.25860946E+00;0.35497926E+01;0.29863782E+00;-0.19993214E+01
0.12510000E+03;0.68560544E+03;0.83137371E+03;0.82142945E+03;0.26183630E+01;0.63938700E+00;0.25860946E+00;0.74042598E+01;-0.31108405E+01;-0.36540323E+01
0.12510000E+03;0.65737243E+03;0.73051347E+03;0.68050321E+03;0.10292690E+01;0.19579150E+01;0.25860946E+00;0.29806565E+01;0.65468976E+00;-0.16774312E+01
0.12510000E+03;0.65961964E+03;0.81190600E+03;0.66629623E+03;0.25601570E+01;0.68404000E+00;0.25860946E+00;0.97661054E+00;0.34104714E+01;-0.37030419E+01
0.12510000E+03;0.12684565E+02;0.66364511E+02;0.10758907E+03;0.70111700E+00;-0.34621600E+00;0.25860946E+00;0.31023365E-01;-0.30711989E+00;-0.70119475E-01
0.12510000E+03;0.35256246E+03;0.59588140E+03;0.61964917E+03;0.17066790E+01;0.15850760E+01;0.25860946E+00;0.10166767E+02;-0.47682476E+01;-0.38134436E+01
0.12510000E+03;0.75294065E+03;0.82843652E+03;0.87929374E+03;0.31603230E+01;0.16729820E+01;0.25860946E+00;0.84889596E+01;-0.48431531E+01;-0.19728245E+01
0.12510000E+03;0.48461006E+03;0.60128469E+03;0.58848283E+03;0.26220330E+01;0.13622500E+01;0.25860946E+00;0.50460735E+01;-0.15902225E+01;-0.20936011E+01
0.12510000E+03;0.13101157E+03;0.21490405E+03;0.14236387E+03;0.26871580E+01;0.50011500E+00;0.25860946E+00;0.60268090E+00;0.37697207E+00;-0.47953797E+00
0.12510000E+03;0.31945596E+03;0.54224025E+03;0.32221859E+03;0.35183420E+01;0.58393300E+00;0.25860946E+00;0.64251949E+00;0.31136717E+01;-0.31722582E+01
0.12510000E+03;0.72018688E+03;0.85998364E+03;0.85001727E+03;0.22423250E+01;-0.72635800E+00;0.25860946E+00;0.60110408E+01;-0.30870798E+01;-0.36503191E+01
0.12510000E+03;0.60332015E+03;0.68131463E+03;0.73122547E+03;0.32116010E+01;0.15754870E+01;0.25860946E+00;0.72168211E+01;-0.39856658E+01;-0.16556682E+01
