MA MC MH la2 la3 la4 la5 laL m22Squared 
208.841 188.124 180.188 4.32214 -1.23921 0.0876058 -0.184197 -1.3358 -145773 
544.432 565.506 410.869 4.231 3.92444 -2.88148 -2.10842 -1.06546 -402103 
221.218 236.519 194.784 2.31653 1.88717 -0.413178 -0.181714 1.29227 2321.5 
624.372 664.212 549.361 3.08671 6.169 -3.15151 -1.45486 1.56264 -509031 
249.462 181.949 173.642 0.000292205 -0.0142063 0.432481 -0.530107 -0.111832 -67070.5 
448.501 460.653 12.9896 0.595031 6.42304 -3.68631 -3.32117 -0.584445 -35705.7 
884.931 745.028 743.278 1.03267 1.23848 3.72518 -3.81122 1.15244 -1.03518e+06 
312.117 313.444 273.026 4.22957 2.15501 -0.405416 -0.377973 1.37162 -66081.5 
582.131 583.216 167.444 3.71058 10.063 -5.17827 -5.13647 -0.251762 -71310.4 
328.734 329.279 193.894 2.39238 1.64556 -1.17635 -1.16451 -0.695299 -117266 
763.147 780.339 707.204 0.696333 2.53738 -2.23625 -1.35924 -1.0581 -1.06431e+06 
692.856 696.712 145.21 3.06838 14.0053 -7.76127 -7.58416 -1.34009 -123269 
589.258 583.929 445.779 1.483 5.70562 -2.24737 -2.45398 1.00427 -336664 
695.479 690.884 624 3.1461 3.33791 -1.34799 -1.55851 0.431408 -752645 
796.812 815.311 672.879 3.65289 5.78238 -3.99542 -3.00983 -1.22287 -979536 
477.371 510.497 341.209 2.5644 5.6897 -2.92332 -1.84182 0.924559 -176897 
949.746 953.239 593.266 2.24958 18.7112 -9.30903 -9.08938 0.312755 -685003 
696.935 711.588 350.161 2.44935 11.8748 -6.68223 -6.00017 -0.807631 -294101 
84.6136 123.291 5.10402 0.737316 0.592505 -0.383633 -0.117876 0.090995 5454.55 
316.339 338.299 179.352 4.1839 3.00558 -1.59718 -1.12208 0.286327 -47006.8 
695.496 705.646 137.291 3.85027 17.4716 -8.15172 -7.68171 1.63814 61436 
131.653 153.716 87.8543 0.789068 0.432965 -0.366943 -0.158871 -0.0928491 -21055.6 
788.335 821.711 653.75 1.15454 10.102 -4.98308 -3.20713 1.91177 -739086 
815.527 854.915 716.05 0.6189 5.84444 -4.69211 -2.51764 -1.36531 -1.10808e+06 
788.779 805.193 540.555 1.72655 12.9879 -6.31733 -5.45265 1.21795 -510694 
990.738 990.211 478.56 1.09754 24.9784 -12.4009 -12.4354 0.142047 -449444 
576.802 635.761 565.084 3.61405 2.67863 -2.5838 -0.221105 -0.126285 -646283 
347.955 174.956 174.106 2.91261 1.16128 1.48995 -1.49976 1.15147 9056.26 
527.678 554.852 365.405 0.975842 7.63816 -3.367 -2.39479 1.87637 -153491 
