S	T
-0.0136787	-0.019309
-0.021812	-0.0176895
-0.0148775	-0.0244646
0.00855503	-0.00829913
-0.0166202	0.0696842
-0.0207372	0.0245878
-0.0213773	0.0268788
-0.0117986	0.0819386
-0.0143999	-0.020621
-0.0195636	0.0119965
-0.00523301	0.042831
-0.0180245	-0.0307404
-0.00275337	0.00148807
-0.0102362	0.0316896
-0.0209066	0.0353565
-0.015191	0.00245712
-0.00154664	-0.01022
-0.00775117	0.0436726
-0.0110952	0.0768956
-0.00782556	-0.0097849
-0.002747	0.012875
-0.0120108	0.00607421
-0.00765502	-0.00828121
-0.00727256	0.00242152
-0.00355755	0.0496645
-0.00581217	0.0472822
-0.0188126	0.031564
-0.00164473	0.00369639
-0.028343	-0.00519288
0.00583032	-0.00282996
-0.0245705	0.0788203
0.00171719	-0.0191822
-0.001017	-0.00780358
-0.0244333	0.0615057
-0.0166559	-0.00942396
-0.0136198	-0.0161586
0.0081563	-0.00190813
-0.00273129	0.016847
-0.023404	0.0808478
-0.0151563	-0.0147282
-0.0304806	0.0356702
-0.0097147	0.0104683
-0.0155804	0.0199048
-0.0118436	0.0288906
-0.0150214	-0.00991461
-0.0140831	0.095594
-0.0245959	0.0208552
-0.00234285	-0.0108623
-0.0103633	0.109816
-0.00707783	0.114604
-0.0178176	0.0950991
-0.0112925	0.0186462
-0.0210017	0.0089855
-0.012932	0.0140579
-0.027095	0.0902598
-0.0216419	-0.0302803
-0.0206908	0.0651665
0.00174536	-0.00696517
-0.0306479	0.0555238
-0.00646945	-0.00443385
-0.0175403	-0.0132785
-0.00418551	0.0251568
-0.0132998	0.0585377
-0.00313188	0.0151452
-0.00124828	0.00149086
-0.0162654	-0.000748699
-0.0177564	0.0126482
-0.00767566	0.0909489
-0.0043062	0.0953696
-0.0127209	0.0530172
-0.0114445	0.0232093
-0.0153883	-0.00563011
-0.0169657	-0.0059461
0.00247572	-0.00392024
-0.00205377	-0.0100935
-0.00379055	-0.000871462
-0.0111773	0.0690964
0.00265782	-9.50844e-05
-0.0114944	0.0968485
-0.0109188	0.0412162
-0.0129356	0.0284699
-0.00953059	0.0696722
0.000257066	-0.00668014
-0.00428838	-0.00488143
-0.00824643	0.0500842
-0.00287474	-0.0040313
-0.00462151	-0.0237209
-0.0163402	0.0483005
-0.0106177	0.0617874
-0.000919434	-0.00323403
-0.00483838	1.25018e-05
-0.0209315	-0.03041
-0.00616192	0.0283122
-0.00458606	0.0153274
0.00183075	-0.000632458
-0.00362628	-0.0226059
-0.0131479	-0.00672203
-0.0124772	0.0353065
-0.00366534	-0.0104948
-0.00977644	0.0792592
