MA MC MH la2 la3 la4 la5 laL m22Squared 
550.016 691.002 668.887 -484.335 95.3408 -3.38821 2.39428 94.3469 4.81467e+06 
670.042 651.882 648.78 -291.004 -130.272 0.330044 -0.46336 -130.405 -8.73342e+06 
783.254 814.871 831.441 363.554 98.1047 -0.384147 1.28573 99.0062 4.60887e+06 
774.246 251.396 253.131 392.049 -206.128 8.87586 -8.84694 -206.099 -1.26005e+07 
210.365 395.273 395.183 315.569 61.7453 -1.85172 1.84937 61.743 3.4241e+06 
759.11 651.959 683.967 -14.2537 212.555 3.20508 -1.79187 213.968 1.20129e+07 
342.447 368.589 307.482 -332.711 388.347 -0.98983 -0.375514 386.981 2.32295e+07 
641.178 737.535 727.219 -151 296.122 -2.44498 1.94557 295.622 1.68322e+07 
366.116 993.38 988.378 -290.91 329.329 -14.2553 13.9277 329.001 1.7956e+07 
244.798 151.235 219.781 162.628 479.011 1.03255 -0.192059 479.852 2.89421e+07 
683.021 713.728 646.17 -205.154 -261.192 -2.2269 -0.809421 -264.228 -1.68251e+07 
821.721 772.175 841.509 -126.118 -264.12 3.15379 0.543839 -260.423 -1.7176e+07 
985.205 848.477 843.217 -95.1442 -120.966 3.99595 -4.29001 -121.26 -8.76018e+06 
581.952 589.448 607.965 445.061 168.851 0.221297 0.511508 169.584 9.5233e+06 
565.522 611.196 481.465 -227.935 13.3894 -3.23052 -1.45428 8.70459 63150.3 
323.021 652.262 641.617 -305.252 125.48 -5.53371 5.07848 125.024 6.74263e+06 
646.93 641.415 945.806 495.641 207.004 8.10104 7.86619 222.972 1.17042e+07 
337.506 160.295 164.285 -225.515 109.494 1.47913 -1.43632 109.537 6.57474e+06 
134.768 132.174 182.491 47.3706 117.525 0.273069 0.250192 118.048 7.0772e+06 
224.859 210.66 191.059 -156 -406.331 -0.0279351 -0.232304 -406.591 -2.46783e+07 
757.993 882.653 830.04 -436.198 -394.954 -4.86871 1.89063 -397.932 -2.54592e+07 
602.839 612.085 533.992 -489.759 328.987 -1.66459 -1.29335 326.029 1.91597e+07 
700.905 711.631 558.017 -302.118 -202.948 -3.47323 -2.97251 -209.394 -1.32944e+07 
178.405 162.563 827.342 -468.724 -450.985 10.9635 10.785 -429.236 -2.73447e+07 
666.157 537.361 545.092 438.504 -179.193 2.69975 -2.42317 -178.916 -1.14215e+07 
403.016 387.796 346.382 96.832 -390.321 -0.303533 -0.701317 -391.326 -2.39214e+07 
744.128 762.751 762.543 142.152 104.343 -0.468969 0.458493 104.333 5.15084e+06 
478.319 470.78 622.642 71.4944 351.16 2.86213 2.62565 356.648 2.08075e+07 
471.513 586.342 572.362 305.841 95.7124 -2.27492 1.7396 95.1771 5.10454e+06 
321.847 293.366 492.82 493.955 -463.583 2.88071 2.30165 -458.401 -2.82263e+07 
717.699 757.072 728.566 -163.348 453.619 -1.6593 0.259698 452.22 2.63049e+07 
526.309 489.975 610.872 -94.0585 97.6358 2.80942 1.58906 102.034 5.42838e+06 
410.472 406.15 215.21 -279.008 413.292 -1.90218 -2.01884 409.371 2.46808e+07 
93.5296 84.9109 264.197 -204.881 496.43 1.05969 1.00886 498.498 3.00275e+07 
790.288 890.116 855.033 -139.82 -400.539 -3.78374 1.7603 -402.562 -2.58236e+07 
342.78 388.43 395.932 -77.4823 -360.4 -0.454343 0.648828 -360.206 -2.21117e+07 
635.728 647.646 512.311 -165.742 313.568 -2.84683 -2.34131 308.38 1.8137e+07 
707.463 638.051 714.035 64.196 310.081 3.24102 0.154383 313.477 1.79507e+07 
797.369 733.304 841.098 -417.547 -206.548 4.42482 1.18398 -200.939 -1.35749e+07 
44.3299 59.5219 53.0885 -184.959 -330.734 -0.0380428 0.0140994 -330.758 -2.00218e+07 
156.544 42.3223 57.5727 326.317 194.438 0.400526 -0.350178 194.488 1.1763e+07 
421.531 431.573 280.505 300.544 -480.621 -1.91916 -1.63601 -484.177 -2.94578e+07 
684.442 629.19 620.676 -487.57 262.776 1.02354 -1.3752 262.424 1.51104e+07 
56.3282 32.0513 623.886 -114.803 -476.505 6.45039 6.37948 -463.675 -2.88382e+07 
464.663 533 500.701 6.60546 383.043 -1.67829 0.574888 381.94 2.26121e+07 
410.757 415.878 185.45 245.57 -330.289 -2.35964 -2.21974 -334.868 -2.03337e+07 
889.933 899.03 721.139 100.023 -27.4448 -5.03152 -4.49366 -36.97 -3.27736e+06 
774.849 764.755 658.626 -433.21 -291.969 -2.23944 -2.75303 -296.961 -1.88385e+07 
451.611 447.03 560.011 190.026 -415.746 1.94815 1.81208 -411.986 -2.5559e+07 
922.573 900.787 876.221 11.106 419.314 -0.0649351 -1.3778 417.872 2.37524e+07 
442.701 478.671 500.026 -315.186 15.0187 -0.202275 0.893027 15.7094 450619 
379.581 385.686 525.659 -328.287 -83.9633 2.03073 2.18514 -79.7474 -5.37863e+06 
192.145 184.809 627.274 -371.922 387.759 5.98328 5.89188 399.635 2.33973e+07 
227.39 68.5993 117.666 72.4331 162.107 0.927687 -0.625634 162.409 9.80066e+06 
399.433 785.114 783.92 487.562 367.484 -7.58033 7.51841 367.422 2.10059e+07 
355.129 792.245 796.308 237.127 285.961 -8.18099 8.3943 286.174 1.60499e+07 
404.722 406.599 398.716 116.43 -27.1318 -0.130067 -0.0797419 -27.3416 -1.97255e+06 
402.137 398.298 954.658 -396.958 -123.011 12.4893 12.3878 -98.1336 -7.7614e+06 
848.682 8.43872 52.6259 400.969 -281.497 11.9454 -11.8562 -281.408 -1.70352e+07 
877.559 421.649 438.985 368.499 -272.573 10.0344 -9.54132 -272.08 -1.68506e+07 
437.288 601.773 581.981 28.989 -21.5001 -3.21137 2.43707 -22.2744 -2.02536e+06 
717.222 748.73 748.807 -127.022 321.322 -0.761332 0.765162 321.326 1.83239e+07 
788.606 844.067 849.18 -287.55 146.783 -1.35322 1.63935 147.07 7.45785e+06 
316.169 291.098 440.554 172.402 465.998 2.05853 1.55537 469.612 2.80309e+07 
557.349 603.67 466.668 -476.995 67.2601 -3.31183 -1.53444 62.4138 3.34148e+06 
418.974 400.344 685.805 -14.2618 -23.3689 5.37574 4.87126 -13.1219 -1.73474e+06 
426.436 883.054 884.189 247.066 -203.548 -9.84748 9.91378 -203.482 -1.38775e+07 
303.954 299.239 809.868 -276.368 310.97 9.40554 9.31154 329.687 1.86396e+07 
336.008 69.1806 107.616 -87.614 -434.525 1.89885 -1.67427 -434.301 -2.63053e+07 
910.655 936.302 823.245 -126.375 -55.2439 -4.06994 -2.50447 -61.8183 -5.09646e+06 
808.352 938.784 942.091 236.304 -47.2471 -3.66288 3.86844 -47.0416 -4.62184e+06 
430.033 407.034 487.897 185.622 139.949 1.51397 0.877703 142.341 8.13782e+06 
678.179 953.221 947.086 451.281 -103.465 -7.60726 7.22199 -103.851 -8.07856e+06 
974.621 968.434 828.022 -385.471 504.044 -3.96958 -4.36687 495.708 2.8627e+07 
355.22 347.767 338.79 201.173 -361.439 -0.015257 -0.188416 -361.643 -2.21147e+07 
98.0089 213.044 201.286 -0.706553 3.10954 -0.671781 0.510778 2.94854 97401.8 
772.424 742.124 893.68 -424.175 -18.956 4.85501 3.33836 -10.7626 -2.24863e+06 
210.18 481.392 458.848 -407.109 381.397 -3.44966 2.74912 380.696 2.26171e+07 
860.578 939.83 932.772 -0.862886 -429.689 -2.57618 2.13942 -430.126 -2.77696e+07 
90.9826 63.8783 339.728 494.766 383.183 1.90912 1.7704 386.862 2.31805e+07 
420.638 549.465 527.367 -80.5469 -43.6907 -2.45839 1.67195 -44.4771 -3.24781e+06 
91.5452 743.473 737.93 308.18 -112.981 -9.13122 8.8598 -113.252 -7.94266e+06 
93.5718 77.4443 421.011 85.9762 340.461 2.87545 2.7843 346.121 2.05913e+07 
530.717 534.062 231.373 -13.6822 -22.2588 -3.8874 -3.76969 -29.9159 -1.91746e+06 
679.017 287.78 293.456 -474.707 165.328 6.30488 -6.19586 165.438 9.83938e+06 
499.632 526.897 545.87 209.814 345.006 -0.12615 0.798839 345.679 2.03232e+07 
375.553 306.608 301.969 -117.407 292.048 0.730533 -0.82383 291.955 1.74856e+07 
755.955 692.061 775.739 -71.8014 130.059 3.55844 0.500723 134.118 6.91277e+06 
573.997 732.979 720.69 126.54 -307.589 -3.72876 3.13838 -308.179 -1.96886e+07 
556.16 637.34 616.694 160.184 -454.434 -2.0289 1.1732 -455.29 -2.83129e+07 
211.933 303.154 299.253 274.201 -410.353 -0.815275 0.73761 -410.431 -2.50168e+07 
125.077 331.732 338.54 -447.875 -455.08 -1.48455 1.63536 -454.929 -2.77597e+07 
608.315 570.873 605.987 -268.609 -135.951 1.41243 -0.0467137 -134.586 -8.87902e+06 
751.76 759.627 685.277 246.73 118.037 -1.97168 -1.57872 114.486 5.98906e+06 
554.229 560.953 157.348 -366.375 93.2505 -4.91454 -4.66673 83.6692 5.01381e+06 
836.518 830.059 663.986 -209.109 414.844 -3.92222 -4.27798 406.644 2.37267e+07 
206.764 843.81 840.6 -315.934 457.012 -11.1486 10.9699 456.833 2.62325e+07 
184.077 166.41 770.04 212.761 -352.166 9.44315 9.23852 -333.484 -2.1367e+07 
768.627 837.912 801.567 451.349 185.481 -2.824 0.854702 183.511 9.82035e+06 
386.352 442.004 359.136 -316.592 32.4639 -1.85881 -0.335277 30.2698 1.57385e+06 
614.799 580.331 726.558 -234.873 -180.111 3.83858 2.47717 -173.795 -1.15732e+07 
408.509 741.433 740.702 -125.301 -173.015 -6.34421 6.30841 -173.05 -1.15696e+07 
219.31 232.86 198.535 27.314 -477.642 -0.345936 -0.143448 -478.131 -2.90134e+07 
61.0067 28.3476 466.245 -479.595 -500.301 3.62712 3.53068 -493.143 -3.02778e+07 
534.531 395.325 417.969 122.418 -407.273 2.44328 -1.83464 -406.665 -2.49591e+07 
296.96 236.45 299.208 -414.4 -147.529 1.08886 0.0221501 -146.418 -9.03968e+06 
665.831 814.147 792.629 34.9773 420.007 -4.19856 3.05589 418.864 2.40915e+07 
714.997 623.195 625.716 -38.6693 -389.635 2.08204 -1.978 -389.531 -2.43559e+07 
63.7126 118.88 130.62 -491.679 494.36 -0.118052 0.214857 494.457 2.98884e+07 
610.399 601.278 494.096 70.0685 -197.721 -1.75741 -2.12267 -201.601 -1.26884e+07 
33.9195 931.743 929.363 289.105 -198.013 -14.3999 14.2535 -198.16 -1.37193e+07 
592.467 651.214 586.467 -7.72992 211.293 -2.53154 -0.116892 208.645 1.19384e+07 
