MA		MC		MH		la2		la3		la4		la5		laL		m22Squared		
617.536		240.087		257		-12.5613		-90.8283		5.48806		-5.21021		-90.5505		-5.61185e+06		
583.917		229.678		248.988		-326.774		-334.646		4.91522		-4.60975		-334.34		-2.03569e+07		
883.35		733.496		742.706		-171.752		473.791		4.2284		-3.77909		474.241		2.75959e+07		
424.538		404.726		651.542		-113.618		-283.605		4.57949		4.03652		-274.989		-1.74903e+07		
383.853		290.554		355.821		176.001		-168.035		1.73687		-0.34263		-166.64		-1.03376e+07		
203.281		208.798		251.422		-411.078		-189.569		0.286583		0.361722		-188.92		-1.15591e+07		
718.915		822.482		778.159		-109.3		492.564		-3.81029		1.46561		490.219		2.84551e+07		
652.297		694.3		601.065		7.74147		-465.275		-2.93035		-1.06109		-469.266		-2.91207e+07		
646.627		593.94		647.232		-492.667		-155.168		2.17306		0.0129362		-152.982		-1.00957e+07		
568.699		407.81		406.469		228.382		436.815		2.57813		-2.61421		436.779		2.61017e+07		
497.936		653.578		660.606		-122.857		-133.356		-2.80898		3.1142		-133.05		-8.92448e+06		
637.447		684.63		640.672		-35.6107		388.572		-1.99347		0.0681155		386.647		2.25774e+07		
510.094		798.305		778.449		-473.7		-169.229		-6.74867		5.71398		-170.263		-1.15156e+07		
111.248		49.3746		74.2048		285.378		-41.9274		0.214932		-0.113521		-41.826		-2.54216e+06		
58.6959		46.5148		279.954		162.577		-280.014		1.28053		1.23817		-277.496		-1.69497e+07		
674.132		663.55		637		-206.207		-279.234		-0.33665		-0.804494		-280.375		-1.77787e+07		
279.509		272.835		214.689		-105.527		94.0248		-0.40752		-0.529345		93.088		5.54113e+06		
437.633		433.404		793.634		231.108		310.392		7.36497		7.24324		325.001		1.8408e+07		
526.414		520.361		867.359		431.872		-268.457		8.06186		7.85248		-252.543		-1.67875e+07		
272.486		293.592		118.237		-68.0266		-251.988		-1.39077		-0.995912		-254.374		-1.54217e+07		
227.842		187.712		362.296		379.943		344.517		1.8623		1.31116		347.691		2.07783e+07		
96.257		83.4083		667.006		163.391		172.948		7.27492		7.19862		187.421		1.04522e+07		
595.402		606.375		463.255		37.9648		399.106		-2.74759		-2.31177		394.046		2.34169e+07		
640.576		637.67		861.97		469.649		298.665		5.61974		5.49699		309.782		1.72608e+07		
247.459		144.821		147.176		-198.946		-433.142		0.676684		-0.653957		-433.119		-2.6254e+07		
139.865		135.84		594.312		41.8301		278.261		5.55		5.51332		289.325		1.68023e+07		
99.9579		78.0706		938.672		-225.627		168.764		14.5235		14.3948		197.682		1.02007e+07		
295.127		346.284		283.092		-146.104		197.954		-1.19942		-0.114992		196.64		1.17396e+07		
682.387		557.386		563.479		-482.342		-149.787		2.6737		-2.44801		-149.561		-9.68586e+06		
208.041		265.095		170.52		187.983		-129.253		-1.12685		-0.23471		-130.615		-7.96245e+06		
781.528		869.273		881.264		422.611		-115.472		-2.04674		2.74044		-114.778		-8.49918e+06		
475.586		340.066		370.709		-345.295		414.648		2.18649		-1.46667		415.368		2.48615e+07		
217.175		354.639		311.485		60.8513		-209.553		-1.77391		0.823877		-210.503		-1.29328e+07		
