S	T
0.0221156	0.000111076
-0.0119042	-0.0253553
0.0107737	-0.0101154
0.0125258	0.103171
0.0180564	0.0996095
-0.00720357	0.101209
-0.0107861	0.0919557
-0.00197834	-0.012516
-0.000672743	-0.0137317
-0.00375336	0.0282926
0.0144192	0.020289
0.0197631	0.0133629
0.0078859	0.051301
-0.00124589	-0.00702785
-0.0212509	0.0898007
0.0211289	0.108222
-5.38448e-05	-0.000918209
0.0185676	0.135541
-0.0071421	0.0664117
-0.00623538	0.000797508
-0.00439	0.0272647
-0.0228549	0.0897093
0.00296029	0.00886779
0.0440827	0.0685444
0.0181194	-0.0062699
-0.0050395	-0.0130064
-0.00131516	-0.00555385
-0.0216605	-7.38336e-05
-0.000108288	-0.00765542
0.0401569	0.0127003
-0.000658631	-0.00810833
0.00185614	0.00138512
-0.00559293	0.0112542
-0.0226266	0.0558803
-0.0183671	-0.00621863
-0.00721809	0.0386237
-0.00478747	0.0904237
-0.0217222	-0.018483
-0.0154479	-0.00682565
0.00155286	0.00240025
-0.00783025	0.0565474
0.00968261	0.0712571
-0.0172447	0.0952468
0.0121868	-0.00469458
-0.0191655	0.074009
-0.00652442	0.0627775
-0.0238627	0.0993308
-0.0153223	0.0372883
-0.00385848	0.0133212
0.00735266	0.0326655
-0.0038963	0.0128265
0.00296777	-0.0136963
0.0465461	0.118664
0.0935329	0.078503
0.00492786	0.119539
0.00504959	0.0243846
0.111045	0.133913
-0.0115201	0.0596563
-0.00496676	-0.018838
0.0304208	0.0619263
0.0645471	0.0722873
-0.0304691	0.0437925
0.00551913	-0.00541748
0.00671359	0.0500657
-0.000277634	-0.00730972
0.00765402	0.0936248
-0.0020565	0.00489376
-0.00750483	0.105829
0.0265699	0.0271767
0.0221977	0.0481801
-0.00557589	0.0151836
-0.0107917	0.0949361
-0.00528314	0.0691877
-0.0155974	0.00580014
0.0028776	0.0323065
0.00673463	0.105381
-0.0108132	0.0350436
0.0813943	0.0614121
0.00447697	0.0387119
0.0169194	0.0982464
0.00488814	0.119607
-0.00638711	0.0162913
0.00771374	0.0507782
0.128239	0.173513
0.0303162	0.0855792
-0.016026	0.0263616
0.00605807	0.00692882
0.00132938	0.00562508
-0.00536375	-0.00993754
0.239331	0.246399
-0.019919	0.0137305
-0.0167331	0.0847287
-0.00902354	0.0601029
0.00427296	-0.00345226
-0.0169558	0.100718
-0.0256651	0.0786092
0.0577169	0.153946
0.00297604	-0.0076938
-0.0146688	0.0790448
-0.0025426	-0.0189894
-0.00539898	0.0732881
0.0100806	-0.008138
-0.010914	0.0723581
0.00957332	0.0790887
0.0355625	0.0748307
-0.0199887	0.0618558
-0.0139813	0.0398463
-0.0112004	0.0548533
0.00594759	0.0044489
0.0694118	0.0618016
-0.0019382	0.0180233
0.0013684	0.00357599
-0.0232216	0.0675817
-0.0181223	0.055012
0.00351966	-0.0111467
0.00757799	0.0343785
0.00629712	0.100195
-0.00766491	0.105817
0.0201241	0.0171201
-0.0137373	0.0615768
