mh MH MA MC la2 laL la1 la3 la4 la5 S T U
125.100000 131.889128 380.703142 587.071012 3.007143 0.507028 0.258609 11.322602 -8.708030 -2.107544 -0.040609 1.592580 0.011062
125.100000 204.894529 438.347277 578.440920 0.170875 1.229732 0.258609 10.900303 -7.189135 -2.481436 -0.029286 0.916933 0.005446
125.100000 12.443974 283.668981 459.115203 2.414736 -0.430798 0.258609 6.530400 -5.634057 -1.327141 -0.048276 1.179338 0.015519
125.100000 324.335344 640.551861 695.542860 4.048290 -0.766204 0.258609 11.745741 -7.470085 -5.041861 -0.017816 0.362082 0.001224
125.100000 376.507084 606.751467 625.319719 1.291253 1.002839 0.258609 9.240897 -4.497068 -3.740990 -0.011998 0.083464 0.000305
125.100000 209.589234 412.146069 556.323346 3.684175 0.204417 0.258609 8.981204 -6.695738 -2.081049 -0.029440 0.881993 0.005652
125.100000 236.852910 318.028122 639.025263 3.412673 -0.614334 0.258609 11.027348 -10.897372 -0.744309 -0.044225 2.293402 0.013762
125.100000 187.636211 484.101386 531.269039 0.432951 1.394560 0.258609 9.558994 -4.873622 -3.290812 -0.021475 0.279780 0.001763
125.100000 254.721342 264.734945 429.531283 3.259060 1.735827 0.258609 5.688969 -3.867187 -0.085955 -0.027049 0.524494 0.005324
125.100000 55.497206 70.178129 599.628345 0.023835 0.017667 0.258609 11.798822 -11.750667 -0.030488 -0.057631 4.523748 0.014304
125.100000 295.665356 313.756508 636.578752 3.436739 1.430046 0.258609 11.933533 -10.321301 -0.182186 -0.039327 1.976979 0.011061
125.100000 613.376333 739.114935 850.379527 2.166677 0.617808 0.258609 12.083035 -8.655054 -2.810172 -0.012076 0.483523 0.000960
125.100000 256.506913 366.732321 667.972609 1.276988 -0.486276 0.258609 12.085329 -11.436420 -1.135184 -0.040194 2.207550 0.011419
125.100000 783.426538 898.634979 986.070424 2.145068 -0.457699 0.258609 11.392976 -8.648420 -3.202255 -0.008404 0.325709 0.000448
125.100000 7.991117 69.192507 216.768833 1.920000 0.665587 0.258609 2.216413 -1.472767 -0.078058 -0.101805 0.479349 0.060157
125.100000 366.160036 450.453295 662.483646 2.737833 1.323795 0.258609 11.397541 -8.936278 -1.137468 -0.025654 1.141725 0.004745
125.100000 529.283887 564.603558 650.986430 2.004387 -0.451749 0.258609 4.295488 -4.108799 -0.638439 -0.009312 0.193440 0.000617
125.100000 602.406216 647.945390 734.222853 1.662675 -0.548877 0.258609 5.274045 -4.882013 -0.940908 -0.008578 0.209287 0.000518
125.100000 276.378339 348.694934 543.316565 1.528908 0.262326 0.258609 7.493733 -6.484444 -0.746962 -0.029372 0.940319 0.006194
125.100000 149.231030 308.884445 525.523178 1.801910 1.398163 0.258609 9.789488 -7.182724 -1.208601 -0.042567 1.417435 0.012486
125.100000 127.110185 511.479251 606.214379 3.708015 0.070765 0.258609 11.682202 -7.555419 -4.056019 -0.028603 0.747492 0.004146
125.100000 551.387535 626.877531 744.486152 2.483351 -0.751777 0.258609 7.518149 -6.800113 -1.469813 -0.012427 0.416963 0.001086
125.100000 369.028887 408.995346 685.410844 1.000586 0.163512 0.258609 11.188884 -10.511543 -0.513829 -0.030167 1.586219 0.006619
125.100000 399.267763 617.679445 666.201570 2.521132 0.770275 0.258609 10.169766 -5.729169 -3.670321 -0.013701 0.234519 0.000789
125.100000 55.589101 79.436627 327.835881 0.609421 0.085140 0.258609 3.535012 -3.396662 -0.053210 -0.088955 1.126811 0.047982
125.100000 369.369469 465.385262 678.259652 0.705119 0.231880 0.258609 10.926650 -9.370333 -1.324437 -0.025689 1.193959 0.004738
125.100000 166.736652 249.960894 368.575448 1.387310 0.847603 0.258609 4.418452 -2.997788 -0.573061 -0.030185 0.429980 0.006325
125.100000 71.174173 466.933186 614.852246 3.954021 -0.652248 0.258609 11.674327 -8.807492 -3.519083 -0.035843 1.270690 0.007734
125.100000 79.297400 255.880091 535.506529 3.950359 0.572478 0.258609 9.842065 -8.291556 -0.978031 -0.058034 2.117894 0.022662
125.100000 779.517173 897.218947 913.136315 2.685039 -0.627780 0.258609 6.846968 -4.213547 -3.261201 -0.004493 0.039127 0.000053
125.100000 288.963463 374.830155 656.729607 3.730276 -0.177582 0.258609 11.316697 -10.552416 -0.941863 -0.036154 1.861720 0.009339
125.100000 212.415437 382.743300 529.045489 2.593096 -0.706551 0.258609 7.052350 -6.083771 -1.675129 -0.029496 0.822709 0.005812
125.100000 182.693498 280.353498 434.004400 1.276261 1.123689 0.258609 6.245736 -4.374787 -0.747260 -0.033074 0.690756 0.007650
125.100000 397.816721 668.203134 722.962826 1.263846 0.161763 0.258609 12.205424 -7.280668 -4.762993 -0.015240 0.320355 0.000947
125.100000 249.109426 539.650009 634.450600 2.384671 1.230287 0.258609 12.482585 -7.465422 -3.786877 -0.023236 0.641265 0.002873
125.100000 814.648909 899.297698 971.962908 2.054985 0.477553 0.258609 9.766305 -6.891311 -2.397440 -0.006678 0.210388 0.000286
125.100000 521.118486 699.903837 775.652052 0.733704 0.020902 0.258609 10.929476 -7.301249 -3.607325 -0.012430 0.352030 0.000848
125.100000 173.382938 587.532033 600.842150 2.284769 -0.556190 0.258609 10.381402 -5.730171 -5.207420 -0.019783 0.095288 0.000466
125.100000 761.293146 808.421251 934.758537 2.993954 -0.773060 0.258609 8.950195 -8.500808 -1.222448 -0.009302 0.403253 0.000628
125.100000 162.590633 214.283289 498.975604 2.892127 0.286490 0.258609 7.641270 -7.032855 -0.321925 -0.052016 1.684962 0.018666
125.100000 225.176721 505.512127 627.255820 1.928421 0.004369 0.258609 11.331796 -7.942572 -3.384856 -0.026530 0.855252 0.004143
125.100000 674.388724 802.360911 908.810412 1.321037 0.104184 0.258609 12.369906 -9.142864 -3.122858 -0.010947 0.457923 0.000780
125.100000 603.566802 669.492098 747.968862 1.672511 0.241575 0.258609 6.691589 -5.063162 -1.386853 -0.008583 0.208446 0.000497
125.100000 269.979334 443.841998 630.503259 2.595199 0.067263 0.258609 10.796509 -8.678435 -2.050811 -0.029434 1.202586 0.005935
125.100000 82.069623 384.600612 580.474546 3.659426 -0.201645 0.258609 10.711676 -8.580348 -2.332973 -0.042228 1.587067 0.011752
125.100000 339.987847 406.622955 471.327249 2.029661 1.422140 0.258609 4.943775 -2.699530 -0.822105 -0.012431 0.155844 0.001010
125.100000 731.883215 765.757883 808.440156 3.770712 -0.749171 0.258609 3.148061 -3.058907 -0.838325 -0.004106 0.060208 0.000108
125.100000 405.771890 444.378900 652.167420 0.547389 0.153671 0.258609 8.768633 -8.072597 -0.542365 -0.022813 0.934805 0.003814
